date,total_daily_fees_btc
2015-06-11,17.44264663
2015-06-15,19.87304204
2015-06-19,27.30544421
2015-06-23,18.74452789
2015-06-27,16.74241236
2015-07-01,21.27628595
2015-07-05,20.94808987
2015-07-09,40.17988719
2015-07-13,32.26811751
2015-07-17,24.04523437
2015-07-21,25.67332781
2015-07-25,20.24099182
2015-07-29,39.00263677
2015-08-02,20.81821964
2015-08-06,37.05030425
2015-08-10,28.5686514
2015-08-14,24.26238231
2015-08-18,25.60465587
2015-08-22,22.39789595
2015-08-26,25.15845138
2015-08-30,19.51472621
2015-09-03,27.97427509
2015-09-07,29.70364898
2015-09-11,38.07931771
2015-09-15,28.87989851
2015-09-19,21.74704429
2015-09-23,25.52187592
2015-09-27,21.98745167
2015-10-01,28.82708269
2015-10-05,23.34896688
2015-10-09,23.10188544
2015-10-13,24.94470798
2015-10-17,27.00692963
2015-10-21,28.40338671
2015-10-25,24.82972719
2015-10-29,33.96205933
2015-11-02,33.2823864
2015-11-06,32.32119456
2015-11-10,29.20202127
2015-11-14,24.47520325
2015-11-18,27.37508755
2015-11-22,23.30401546
2015-11-26,27.95046286
2015-11-30,34.29084643
2015-12-04,28.66553139
2015-12-08,32.78755044
2015-12-12,36.96162758
2015-12-16,37.38604758
2015-12-20,33.53649378
2015-12-24,36.33612595
2015-12-28,31.14441685
2016-01-01,19.82080598
2016-01-05,32.27846687
2016-01-09,30.22393822
2016-01-13,34.27954249
2016-01-17,36.326795
2016-01-21,50.3603795
2016-01-25,45.9839664
2016-01-29,46.98023086
2016-02-02,58.64427461
2016-02-06,40.20959148
2016-02-10,45.10160409
2016-02-14,35.15265778
2016-02-18,43.33919321
2016-02-22,45.80619995
2016-02-26,42.35918186
2016-03-01,60.06599979
2016-03-05,62.07709524
2016-03-09,54.68048263
2016-03-13,35.80250793
2016-03-17,46.32816082
2016-03-21,41.13390235
2016-03-25,32.7033762
2016-03-29,57.79052183
2016-04-02,49.66375403
2016-04-06,58.44875393
2016-04-10,33.25339902
2016-04-14,44.86496577
2016-04-18,47.33042977
2016-04-22,42.68874359
2016-04-26,337.75639818
2016-04-30,40.87923127
2016-05-04,47.17178574
2016-05-08,34.73771327
2016-05-12,46.75238994
2016-05-16,60.51568467
2016-05-20,51.58622819
2016-05-24,59.53134626
2016-05-28,52.34180926
2016-06-01,56.18497783
2016-06-05,44.16827831
2016-06-09,53.21550949
2016-06-13,63.87453511
2016-06-17,78.90209509
2016-06-21,76.28917579
2016-06-25,60.99766676
2016-06-29,61.68595835
2016-07-03,45.47185343
2016-07-07,56.50728572
2016-07-11,57.33521701
2016-07-15,55.22548963
2016-07-19,61.86165427
2016-07-23,60.03161359
2016-07-27,74.91411699
2016-07-31,72.5596168
2016-08-04,69.53744777
2016-08-08,86.44357031
2016-08-12,70.76200713
2016-08-16,83.09112751
2016-08-20,61.21304534
2016-08-24,64.62449049
2016-08-28,48.91366874
2016-09-01,63.48703333
2016-09-05,63.04984857
2016-09-09,63.36822147
2016-09-13,68.05656902
2016-09-17,57.63998368
2016-09-21,64.96509855
2016-09-25,49.59149659
2016-09-29,68.53955587
2016-10-03,74.26828206
2016-10-07,72.05178137
2016-10-11,80.75501147
2016-10-15,62.6006372
2016-10-19,62.38149631
2016-10-23,67.49823388
2016-10-27,111.04197547
2016-10-31,76.30761672
2016-11-04,84.33985522
2016-11-08,89.2553591699999
2016-11-12,65.89536127
2016-11-16,79.46533169
2016-11-20,72.95353104
2016-11-24,135.86177837
2016-11-28,109.57588157
2016-12-02,120.59021932
2016-12-06,119.47737538
2016-12-10,86.84229837
2016-12-14,94.82014754
2016-12-18,80.81959375
2016-12-22,106.17675284
2016-12-26,87.97239373
2016-12-30,100.318724
2017-01-03,117.50869676
2017-01-07,106.3384173
2017-01-11,111.82087465
2017-01-15,82.2243205899999
2017-01-19,112.3957332
2017-01-23,109.01172711
2017-01-27,114.04371837
2017-01-31,145.66158893
2017-02-04,138.64644801
2017-02-08,157.14493504
2017-02-12,102.51055926
2017-02-16,169.87720101
2017-02-20,159.91401438
2017-02-24,226.7099144
2017-02-28,227.3714723
2017-03-04,220.29548015
2017-03-08,233.7307623
2017-03-12,190.62879952
2017-03-16,264.55158129
2017-03-20,241.15787713
2017-03-24,231.55050182
2017-03-28,233.22176362
2017-04-01,190.64263242
2017-04-05,236.29861443
2017-04-09,168.05979031
2017-04-13,216.66765492
2017-04-17,180.72834518
2017-04-21,244.38907052
2017-04-25,271.62738431
2017-04-29,256.37648122
2017-05-03,247.34367708
2017-05-07,277.03575031
2017-05-11,279.58022914
2017-05-15,327.30377033
2017-05-19,442.811934
2017-05-23,468.38356854
2017-05-27,528.8278222
2017-05-31,570.4198544
2017-06-04,441.99355556
2017-06-08,490.9904414
2017-06-12,409.8643713
2017-06-16,375.35139576
2017-06-20,388.08537505
2017-06-24,307.20884336
2017-06-28,385.86002411
2017-07-02,197.85958294
2017-07-06,241.52060511
2017-07-10,205.57250621
2017-07-14,215.37764419
2017-07-18,224.51846967
2017-07-22,171.03691992
2017-07-26,167.53481996
2017-07-30,138.11682207
2017-08-03,124.10595421
2017-08-07,121.82649183
2017-08-11,234.94470226
2017-08-15,350.45038263
2017-08-19,265.91179874
2017-08-23,541.97068152
2017-08-27,358.8427277
2017-08-31,413.21489691
2017-09-04,325.4016802
2017-09-08,217.76572461
2017-09-12,148.9079562
2017-09-16,119.91780546
2017-09-20,146.40700953
2017-09-24,83.67519444
2017-09-28,134.45160224
2017-10-02,180.47323995
2017-10-06,149.02120217
2017-10-10,167.2582099
2017-10-14,227.59563891
2017-10-18,192.2026716
2017-10-22,155.33193023
2017-10-26,112.65051758
2017-10-30,263.59097424
2017-11-03,271.77385265
2017-11-07,294.12731396
2017-11-11,323.8993876
2017-11-15,603.50996198
2017-11-19,247.44354414
2017-11-23,265.91956914
2017-11-27,236.5030831
2017-12-01,247.0519056
2017-12-05,219.679754
2017-12-09,567.08842445
2017-12-13,604.2979452
2017-12-17,535.43867532
2017-12-21,1128.76167038
2017-12-25,689.39441204
2017-12-29,785.79504963
2018-01-02,649.16497626
2018-01-06,694.47790564
2018-01-10,720.32570087
2018-01-14,491.32446483
2018-01-18,656.89753535
2018-01-22,314.61253947
2018-01-26,209.13221596
2018-01-30,160.30090386
2018-02-03,146.92776937
2018-02-07,123.52109098
2018-02-11,61.96458348
2018-02-15,64.08005499
2018-02-19,50.9081119
2018-02-23,73.94810594
2018-02-27,50.54578675
2018-03-03,37.96379904
2018-03-07,34.8377064
2018-03-11,39.61038377
2018-03-15,36.64624829
2018-03-19,30.78064883
2018-03-23,26.25767336
2018-03-27,27.51028124
2018-03-31,20.07447617
2018-04-04,24.81899369
2018-04-08,21.01734283
2018-04-12,35.70920887
2018-04-16,25.73063079
2018-04-20,29.02296386
2018-04-24,65.4108642
2018-04-28,41.9470722
2018-05-02,38.88684015
2018-05-06,31.28195837
2018-05-10,26.71177891
2018-05-14,35.25774075
2018-05-18,70.13995212
2018-05-22,26.52413321
2018-05-26,22.51408114
2018-05-30,22.66213792
2018-06-03,15.3074038
2018-06-07,20.6699365
2018-06-11,24.67101897
2018-06-15,23.19453295
2018-06-19,83.80865389
2018-06-23,31.93798474
2018-06-27,32.15886049
